Provider,Location,Name,Notes,Available,Latitude,Longitude
Microsoft Azure ,"Abu Dhabi, UAE ",UAE Central ,,n,24.48818,54.35495
Digital Ocean,"Amsterdam, Netherlands",AMS2,,y,52.370216,4.895168
Digital Ocean,"Amsterdam, Netherlands",AMS3,,y,52.370216,4.895168
AWS,"Ashburn, Virginia",us-east-1,6 availability zones ,y,39.04237,-77.48724
Google Cloud,"Ashburn, Virginia",us-east4,3 availability zones,y,39.04237,-77.48724
Linode,"Atlanta, Georgia",US Southeast ,,y,33.748997,-84.387985
AWS,Bahrain,,,n,26.0667,50.557701
Digital Ocean,"Bangalore, India",BLR1,,y,12.971599,77.594566
AWS,"Beijing, China",cn-north-1,2 availability zones ,n,39.904202,116.407394
Microsoft Azure ,"Beijing, China",China North,,y,39.904202,116.407394
Microsoft Azure ,"Beijing, China",China North 2 ,,y,39.904202,116.407394
AWS,"Boardman, Oregon ",us-west-2 ,3 availability zones ,y,45.84117,-119.70205
Microsoft Azure ,"Busan, South Korea ",Korea South ,,y,35.179554,129.075638
Microsoft Azure ,California,West US,,y,36.717559,-119.784692
Microsoft Azure ,"Canberra, Australia ",Australia Central ,,y,-35.280937,149.130005
Microsoft Azure ,"Canberra, Australia ",Australia Central 2 ,,y,-35.280937,149.130005
Microsoft Azure ,"Cape Town, South Africa",South Africa West ,,n,-33.92487,18.424055
Microsoft Azure ,"Cardiff, United Kingdom ",UK West ,,y,51.48131,-3.1805
Google Cloud,"Changhua County, Taiwan",asia-east1,3 availability zones,y,24.07555,120.545067
Microsoft Azure ,"Chennai, India ",South India,,y,13.08268,80.270721
AWS,"Columbus, Ohio",us-east-2,3 availability zones ,y,39.961178,-82.998795
Google Cloud,"Council Bluffs, Iowa",us-central1,4 availability zones ,y,41.25896,-95.85436
Linode,"Dallas, Texas ",US Central ,,y,32.776665,-96.796989
Microsoft Azure ,"Dubai, UAE ",UAE North ,,n,25.204849,55.270782
AWS,"Dublin, Ireland",eu-west-1,3 availability zones,y,53.349804,-6.26031
Microsoft Azure ,"Dublin, Ireland",North Europe ,,y,53.349804,-6.26031
Google Cloud,"Eemshaven, Netherlands",eruope-west4,3 availability zones,y,53.442108,6.82571
AWS,"Frankfurt, Germany",eu-central-1,2 availability zones,y,50.110924,8.682127
Google Cloud,"Frankfurt, Germany",europe-west3,3 availability zones,y,50.110924,8.682127
Microsoft Azure ,"Frankfurt, Germany",Germany Central ,,y,50.110924,8.682127
Linode,"Frankfurt, Germany",EU Central ,,y,50.110924,8.682127
Digital Ocean,"Frankfurt, Germany ",FRA1,,y,50.110924,8.682127
Linode,"Fremont, California",US West,,y,37.548271,-121.988571
